month,day,daylength,nhours,morn1,dawn,midmorn,midaft,sunset,night
12,5,09:16,9.28,05:22,07:22,09:22,14:39,16:39,18:39
12,6,09:15,9.26,05:23,07:23,09:23,14:39,16:39,18:39
12,7,09:14,9.25,05:24,07:24,09:24,14:39,16:39,18:39
12,8,09:13,9.23,05:25,07:25,09:25,14:39,16:39,18:39
12,9,09:12,9.21,05:26,07:26,09:26,14:39,16:39,18:39
12,10,09:12,9.20,05:27,07:27,09:27,14:39,16:39,18:39
12,11,09:11,9.19,05:28,07:28,09:28,14:39,16:39,18:39
12,12,09:10,9.18,05:28,07:28,09:28,14:39,16:39,18:39
12,13,09:10,9.17,05:29,07:29,09:29,14:39,16:39,18:39
12,14,09:09,9.16,05:30,07:30,09:30,14:39,16:39,18:39
12,15,09:08,9.15,05:31,07:31,09:31,14:40,16:40,18:40
12,16,09:08,9.14,05:31,07:31,09:31,14:40,16:40,18:40
12,17,09:08,9.14,05:32,07:32,09:32,14:40,16:40,18:40
12,18,09:07,9.13,05:33,07:33,09:33,14:41,16:41,18:41
12,19,09:07,9.13,05:33,07:33,09:33,14:41,16:41,18:41
12,20,09:07,9.13,05:34,07:34,09:34,14:42,16:42,18:42
12,21,09:07,9.13,05:34,07:34,09:34,14:42,16:42,18:42
12,22,09:07,9.13,05:35,07:35,09:35,14:43,16:43,18:43
12,23,09:07,9.13,05:35,07:35,09:35,14:43,16:43,18:43
12,24,09:07,9.13,05:36,07:36,09:36,14:44,16:44,18:44
12,25,09:08,9.13,05:36,07:36,09:36,14:44,16:44,18:44
12,26,09:08,9.14,05:37,07:37,09:37,14:45,16:45,18:45
12,27,09:08,9.15,05:37,07:37,09:37,14:46,16:46,18:46
12,28,09:09,9.15,05:37,07:37,09:37,14:46,16:46,18:46
12,29,09:09,9.16,05:37,07:37,09:37,14:47,16:47,18:47
12,30,09:10,9.17,05:38,07:38,09:38,14:48,16:48,18:48
12,31,09:10,9.18,05:38,07:38,09:38,14:49,16:49,18:49
1,1,09:11,9.19,05:38,07:38,09:38,14:49,16:49,18:49
1,2,09:12,9.21,05:38,07:38,09:38,14:50,16:50,18:50
1,3,09:13,9.22,05:38,07:38,09:38,14:51,16:51,18:51
1,4,09:14,9.24,05:38,07:38,09:38,14:52,16:52,18:52
1,5,09:15,9.25,05:38,07:38,09:38,14:53,16:53,18:53
1,6,09:16,9.27,05:38,07:38,09:38,14:54,16:54,18:54
1,7,09:17,9.29,05:38,07:38,09:38,14:55,16:55,18:55
1,8,09:18,9.31,05:38,07:38,09:38,14:56,16:56,18:56
1,9,09:19,9.33,05:37,07:37,09:37,14:57,16:57,18:57
1,10,09:20,9.35,05:37,07:37,09:37,14:58,16:58,18:58
1,11,09:22,9.37,05:37,07:37,09:37,14:59,16:59,18:59
1,12,09:23,9.40,05:37,07:37,09:37,15:00,17:00,19:00
1,13,09:25,9.42,05:36,07:36,09:36,15:01,17:01,19:01
1,14,09:26,9.44,05:36,07:36,09:36,15:03,17:03,19:03
1,15,09:28,9.47,05:35,07:35,09:35,15:04,17:04,19:04
1,16,09:29,9.50,05:35,07:35,09:35,15:05,17:05,19:05
1,17,09:31,9.53,05:35,07:35,09:35,15:06,17:06,19:06
1,18,09:33,9.55,05:34,07:34,09:34,15:07,17:07,19:07
1,19,09:35,9.58,05:33,07:33,09:33,15:08,17:08,19:08
1,20,09:36,9.61,05:33,07:33,09:33,15:10,17:10,19:10
1,21,09:38,9.65,05:32,07:32,09:32,15:11,17:11,19:11
1,22,09:40,9.68,05:32,07:32,09:32,15:12,17:12,19:12
1,23,09:42,9.71,05:31,07:31,09:31,15:13,17:13,19:13
1,24,09:44,9.74,05:30,07:30,09:30,15:15,17:15,19:15
1,25,09:46,9.78,05:29,07:29,09:29,15:16,17:16,19:16
1,26,09:48,9.81,05:28,07:28,09:28,15:17,17:17,19:17
1,27,09:50,9.85,05:28,07:28,09:28,15:18,17:18,19:18
1,28,09:52,9.88,05:27,07:27,09:27,15:20,17:20,19:20
1,29,09:55,9.92,05:26,07:26,09:26,15:21,17:21,19:21
1,30,09:57,9.96,05:25,07:25,09:25,15:22,17:22,19:22
1,31,09:59,9.99,05:24,07:24,09:24,15:24,17:24,19:24
2,1,10:01,10.03,05:23,07:23,09:23,15:25,17:25,19:25
2,2,10:04,10.07,05:22,07:22,09:22,15:26,17:26,19:26
2,3,10:06,10.11,05:21,07:21,09:21,15:27,17:27,19:27
2,4,10:08,10.15,05:20,07:20,09:20,15:29,17:29,19:29
2,5,10:11,10.19,05:19,07:19,09:19,15:30,17:30,19:30
2,6,10:13,10.23,05:18,07:18,09:18,15:31,17:31,19:31
2,7,10:16,10.27,05:16,07:16,09:16,15:33,17:33,19:33
2,8,10:18,10.31,05:15,07:15,09:15,15:34,17:34,19:34
2,9,10:21,10.35,05:14,07:14,09:14,15:35,17:35,19:35
2,10,10:23,10.39,05:13,07:13,09:13,15:36,17:36,19:36
2,11,10:26,10.44,05:12,07:12,09:12,15:38,17:38,19:38
2,12,10:28,10.48,05:10,07:10,09:10,15:39,17:39,19:39
2,13,10:31,10.52,05:09,07:09,09:09,15:40,17:40,19:40
2,14,10:33,10.56,05:08,07:08,09:08,15:41,17:41,19:41
2,15,10:36,10.61,05:06,07:06,09:06,15:43,17:43,19:43
2,16,10:39,10.65,05:05,07:05,09:05,15:44,17:44,19:44
2,17,10:41,10.70,05:03,07:03,09:03,15:45,17:45,19:45
2,18,10:44,10.74,05:02,07:02,09:02,15:46,17:46,19:46
2,19,10:47,10.78,05:01,07:01,09:01,15:48,17:48,19:48
2,20,10:49,10.83,04:59,06:59,08:59,15:49,17:49,19:49
2,21,10:52,10.87,04:58,06:58,08:58,15:50,17:50,19:50
2,22,10:55,10.92,04:56,06:56,08:56,15:51,17:51,19:51
2,23,10:57,10.96,04:55,06:55,08:55,15:53,17:53,19:53
2,24,11:00,11.01,04:53,06:53,08:53,15:54,17:54,19:54
2,25,11:03,11.06,04:52,06:52,08:52,15:55,17:55,19:55
2,26,11:06,11.10,04:50,06:50,08:50,15:56,17:56,19:56
2,27,11:08,11.15,04:49,06:49,08:49,15:58,17:58,19:58
2,28,11:11,11.19,04:47,06:47,08:47,15:59,17:59,19:59
3,1,11:14,11.24,04:46,06:46,08:46,16:00,18:00,20:00
3,2,11:17,11.29,04:44,06:44,08:44,16:01,18:01,20:01
3,3,11:19,11.33,04:42,06:42,08:42,16:02,18:02,20:02
3,4,11:22,11.38,04:41,06:41,08:41,16:04,18:04,20:04
3,5,11:25,11.43,04:39,06:39,08:39,16:05,18:05,20:05
3,6,11:28,11.47,04:38,06:38,08:38,16:06,18:06,20:06
3,7,11:31,11.52,04:36,06:36,08:36,16:07,18:07,20:07
3,8,11:33,11.57,04:34,06:34,08:34,16:08,18:08,20:08
3,9,11:36,11.61,04:33,06:33,08:33,16:09,18:09,20:09
3,10,11:39,11.66,04:31,06:31,08:31,16:11,18:11,20:11
3,11,11:42,11.71,04:29,06:29,08:29,16:12,18:12,20:12
3,12,11:45,11.75,04:28,06:28,08:28,16:13,18:13,20:13
3,13,11:48,11.80,04:26,06:26,08:26,16:14,18:14,20:14
3,14,11:50,11.85,04:24,06:24,08:24,16:15,18:15,20:15
3,15,11:53,11.90,04:22,06:22,08:22,16:16,18:16,20:16
3,16,11:56,11.94,04:21,06:21,08:21,16:17,18:17,20:17
3,17,11:59,11.99,04:19,06:19,08:19,16:19,18:19,20:19
3,18,12:02,12.04,04:17,06:17,08:17,16:20,18:20,20:20
3,19,12:05,12.09,04:16,06:16,08:16,16:21,18:21,20:21
3,20,12:07,12.13,04:14,06:14,08:14,16:22,18:22,20:22
3,21,12:10,12.18,04:12,06:12,08:12,16:23,18:23,20:23
3,22,12:13,12.23,04:11,06:11,08:11,16:24,18:24,20:24
3,23,12:16,12.27,04:09,06:09,08:09,16:25,18:25,20:25
3,24,12:19,12.32,04:07,06:07,08:07,16:26,18:26,20:26
3,25,12:22,12.37,04:05,06:05,08:05,16:27,18:27,20:27
3,26,12:24,12.42,05:04,07:04,09:04,17:29,19:29,21:29
3,27,12:27,12.46,05:02,07:02,09:02,17:30,19:30,21:30
3,28,12:30,12.51,05:00,07:00,09:00,17:31,19:31,21:31
3,29,12:33,12.56,04:59,06:59,08:59,17:32,19:32,21:32
3,30,12:36,12.60,04:57,06:57,08:57,17:33,19:33,21:33
3,31,12:39,12.65,04:55,06:55,08:55,17:34,19:34,21:34
4,1,12:41,12.70,04:53,06:53,08:53,17:35,19:35,21:35
4,2,12:44,12.74,04:52,06:52,08:52,17:36,19:36,21:36
4,3,12:47,12.79,04:50,06:50,08:50,17:37,19:37,21:37
4,4,12:50,12.84,04:48,06:48,08:48,17:39,19:39,21:39
4,5,12:52,12.88,04:47,06:47,08:47,17:40,19:40,21:40
4,6,12:55,12.93,04:45,06:45,08:45,17:41,19:41,21:41
4,7,12:58,12.98,04:43,06:43,08:43,17:42,19:42,21:42
4,8,13:01,13.02,04:42,06:42,08:42,17:43,19:43,21:43
4,9,13:04,13.07,04:40,06:40,08:40,17:44,19:44,21:44
4,10,13:06,13.11,04:38,06:38,08:38,17:45,19:45,21:45
4,11,13:09,13.16,04:37,06:37,08:37,17:46,19:46,21:46
4,12,13:12,13.20,04:35,06:35,08:35,17:47,19:47,21:47
4,13,13:14,13.25,04:34,06:34,08:34,17:48,19:48,21:48
4,14,13:17,13.30,04:32,06:32,08:32,17:50,19:50,21:50
4,15,13:20,13.34,04:30,06:30,08:30,17:51,19:51,21:51
4,16,13:23,13.38,04:29,06:29,08:29,17:52,19:52,21:52
4,17,13:25,13.43,04:27,06:27,08:27,17:53,19:53,21:53
4,18,13:28,13.47,04:26,06:26,08:26,17:54,19:54,21:54
4,19,13:31,13.52,04:24,06:24,08:24,17:55,19:55,21:55
4,20,13:33,13.56,04:23,06:23,08:23,17:56,19:56,21:56
4,21,13:36,13.61,04:21,06:21,08:21,17:57,19:57,21:57
4,22,13:38,13.65,04:19,06:19,08:19,17:58,19:58,21:58
4,23,13:41,13.69,04:18,06:18,08:18,18:00,20:00,22:00
4,24,13:44,13.74,04:17,06:17,08:17,18:01,20:01,22:01
4,25,13:46,13.78,04:15,06:15,08:15,18:02,20:02,22:02
4,26,13:49,13.82,04:14,06:14,08:14,18:03,20:03,22:03
4,27,13:51,13.86,04:12,06:12,08:12,18:04,20:04,22:04
4,28,13:54,13.90,04:11,06:11,08:11,18:05,20:05,22:05
4,29,13:56,13.95,04:09,06:09,08:09,18:06,20:06,22:06
4,30,13:59,13.99,04:08,06:08,08:08,18:07,20:07,22:07
